Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
c2.all.v2024.1.Hs.symbols.gmt	ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	1/125	4.126214e-01	5.015899e-01	2.831583e+00	2.506587e+00	ATF3
c2.all.v2024.1.Hs.symbols.gmt	AMIT_DELAYED_EARLY_GENES	1/18	7.358684e-02	2.123128e-01	2.024278e+01	5.281927e+01	ATF3
c2.all.v2024.1.Hs.symbols.gmt	AMIT_EGF_RESPONSE_120_HELA	3/68	3.022492e-03	3.090647e-02	1.286735e+01	7.465217e+01	CXCL8;GADD45A;TCIM
c2.all.v2024.1.Hs.symbols.gmt	AMIT_EGF_RESPONSE_20_HELA	1/12	4.967357e-02	1.805210e-01	3.081260e+01	9.250813e+01	PPP1R15A
c2.all.v2024.1.Hs.symbols.gmt	AMIT_EGF_RESPONSE_40_HELA	2/42	1.369162e-02	8.925226e-02	1.472039e+01	6.316476e+01	ATF3;PPP1R15A
c2.all.v2024.1.Hs.symbols.gmt	AMIT_EGF_RESPONSE_60_HELA	1/47	1.810327e-01	3.241495e-01	7.608246e+00	1.300308e+01	HSPH1
c2.all.v2024.1.Hs.symbols.gmt	AMIT_EGF_RESPONSE_60_MCF10A	2/39	1.188044e-02	8.179077e-02	1.590018e+01	7.048330e+01	GADD45A;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	AMIT_SERUM_RESPONSE_120_MCF10A	1/65	2.414213e-01	3.702976e-01	5.480537e+00	7.789005e+00	GADD45A
c2.all.v2024.1.Hs.symbols.gmt	AMIT_SERUM_RESPONSE_40_MCF10A	1/32	1.270940e-01	2.774918e-01	1.123886e+01	2.318384e+01	ATF3
c2.all.v2024.1.Hs.symbols.gmt	AMIT_SERUM_RESPONSE_480_MCF10A	1/39	1.526892e-01	3.016190e-01	9.192513e+00	1.727596e+01	S100P
c2.all.v2024.1.Hs.symbols.gmt	AMIT_SERUM_RESPONSE_60_MCF10A	1/58	2.184790e-01	3.549433e-01	6.149686e+00	9.354074e+00	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	AMUNDSON_RESPONSE_TO_ARSENITE	5/219	2.409168e-03	2.590477e-02	6.269732e+00	3.779692e+01	NEAT1;ATF3;DNAJA1;LYZ;GOLGB1
c2.all.v2024.1.Hs.symbols.gmt	ANDERSEN_CHOLANGIOCARCINOMA_CLASS2	2/175	1.696998e-01	3.169148e-01	3.415453e+00	6.058071e+00	S100P;TSPAN1
c2.all.v2024.1.Hs.symbols.gmt	ANDERSEN_LIVER_CANCER_KRT19_UP	4/35	1.429150e-05	3.635617e-04	3.483425e+01	3.886056e+02	RPL3;RPL13A;RPL27A;RPL10A
c2.all.v2024.1.Hs.symbols.gmt	APPIERTO_RESPONSE_TO_FENRETINIDE_DN	1/51	1.948505e-01	3.350851e-01	7.004342e+00	1.145576e+01	TMSB4X
c2.all.v2024.1.Hs.symbols.gmt	APPIERTO_RESPONSE_TO_FENRETINIDE_UP	1/38	1.490787e-01	3.001720e-01	9.438075e+00	1.796331e+01	AKAP9
c2.all.v2024.1.Hs.symbols.gmt	APRELIKOVA_BRCA1_TARGETS	2/48	1.764599e-02	1.039817e-01	1.281749e+01	5.174739e+01	HSP90AA1;DNAJA1
c2.all.v2024.1.Hs.symbols.gmt	AUNG_GASTRIC_CANCER	1/52	1.982688e-01	3.398429e-01	6.868023e+00	1.111336e+01	MMP10
c2.all.v2024.1.Hs.symbols.gmt	AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP	1/126	4.151235e-01	5.028732e-01	2.808893e+00	2.469520e+00	NEAT1
c2.all.v2024.1.Hs.symbols.gmt	BAELDE_DIABETIC_NEPHROPATHY_DN	3/437	2.825705e-01	3.988105e-01	1.907242e+00	2.410425e+00	HSP90AA1;DNAJA1;GADD45A
c2.all.v2024.1.Hs.symbols.gmt	BAELDE_DIABETIC_NEPHROPATHY_UP	2/89	5.482016e-02	1.891562e-01	6.798919e+00	1.974200e+01	FTL;LYZ
c2.all.v2024.1.Hs.symbols.gmt	BAE_BRCA1_TARGETS_UP	1/71	2.605548e-01	3.835690e-01	5.012743e+00	6.741850e+00	TMSB4X
c2.all.v2024.1.Hs.symbols.gmt	BAFNA_MUC4_TARGETS_UP	1/5	2.100202e-02	1.155942e-01	7.876827e+01	3.042926e+02	GAS5
c2.all.v2024.1.Hs.symbols.gmt	BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN	1/160	4.941985e-01	5.673628e-01	2.206712e+00	1.555330e+00	FTL
c2.all.v2024.1.Hs.symbols.gmt	BARIS_THYROID_CANCER_DN	1/59	2.217980e-01	3.578273e-01	6.044289e+00	9.102627e+00	RPL13A
c2.all.v2024.1.Hs.symbols.gmt	BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN	1/31	1.233756e-01	2.740804e-01	1.160787e+01	2.428973e+01	PPP1R15A
c2.all.v2024.1.Hs.symbols.gmt	BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP	1/16	6.568265e-02	2.009003e-01	2.285682e+01	6.223731e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	BASAKI_YBX1_TARGETS_DN	7/398	1.520346e-03	1.801956e-02	4.752600e+00	3.083875e+01	ANKRD36B;LCN2;MUC1;NEAT1;RPL31;DNAH12;TSPAN1
c2.all.v2024.1.Hs.symbols.gmt	BASSO_CD40_SIGNALING_UP	1/103	3.548162e-01	4.560360e-01	3.442781e+00	3.567256e+00	TMSB4X
c2.all.v2024.1.Hs.symbols.gmt	BECKER_TAMOXIFEN_RESISTANCE_DN	2/54	2.202297e-02	1.190153e-01	1.134955e+01	4.330613e+01	TCN1;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	BENPORATH_CYCLING_GENES	5/648	1.405568e-01	2.920236e-01	2.048942e+00	4.020319e+00	GADD45A;MUC1;SERPINB3;RPL27A;RPL13A
c2.all.v2024.1.Hs.symbols.gmt	BENPORATH_EED_TARGETS	2/1059	9.427422e-01	9.500291e-01	5.377676e-01	3.170810e-02	ATF3;CFTR
c2.all.v2024.1.Hs.symbols.gmt	BENPORATH_ES_WITH_H3K27ME3	2/1115	9.533561e-01	9.588722e-01	5.093630e-01	2.433061e-02	ATF3;SFTPC
c2.all.v2024.1.Hs.symbols.gmt	BENPORATH_MYC_MAX_TARGETS	8/775	1.704303e-02	1.021602e-01	2.731152e+00	1.112129e+01	RPS29;TMSB4X;AKAP9;RPL27A;RPL31;RPL15;RPS5;RPL32
c2.all.v2024.1.Hs.symbols.gmt	BENPORATH_MYC_TARGETS_WITH_EBOX	5/230	2.974982e-03	3.057050e-02	5.960894e+00	3.467760e+01	MUC1;RPL27A;HSP90AA1;RPL23A;RPL13A
c2.all.v2024.1.Hs.symbols.gmt	BENPORATH_NANOG_TARGETS	4/988	6.072877e-01	6.615155e-01	1.066422e+00	5.318807e-01	RPL21;RPL32;CFAP298;LINGO1
c2.all.v2024.1.Hs.symbols.gmt	BENPORATH_NOS_TARGETS	1/179	5.336793e-01	6.014344e-01	1.970116e+00	1.237155e+00	LINGO1
c2.all.v2024.1.Hs.symbols.gmt	BENPORATH_OCT4_TARGETS	2/290	3.483045e-01	4.515619e-01	2.043234e+00	2.154954e+00	RPL32;LINGO1
c2.all.v2024.1.Hs.symbols.gmt	BENPORATH_PRC2_TARGETS	1/650	9.392100e-01	9.469271e-01	5.298070e-01	3.322745e-02	ATF3
c2.all.v2024.1.Hs.symbols.gmt	BENPORATH_SOX2_TARGETS	6/734	9.141927e-02	2.367331e-01	2.154543e+00	5.154312e+00	RPS29;PPP1R15A;RPL15;LINGO1;ATF3;FTL
c2.all.v2024.1.Hs.symbols.gmt	BENPORATH_SUZ12_TARGETS	2/1035	9.375311e-01	9.465753e-01	5.508832e-01	3.553491e-02	ATF3;CFTR
c2.all.v2024.1.Hs.symbols.gmt	BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP	2/29	6.690229e-03	5.347057e-02	2.169189e+01	1.086136e+02	ATF3;CP
c2.all.v2024.1.Hs.symbols.gmt	BERENJENO_TRANSFORMED_BY_RHOA_DN	1/398	8.181804e-01	8.419952e-01	8.758551e-01	1.757600e-01	NUCB2
c2.all.v2024.1.Hs.symbols.gmt	BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN	1/30	1.196416e-01	2.710169e-01	1.200190e+01	2.548310e+01	HSPH1
c2.all.v2024.1.Hs.symbols.gmt	BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP	1/20	8.142487e-02	2.220291e-01	1.816495e+01	4.555906e+01	GADD45A
c2.all.v2024.1.Hs.symbols.gmt	BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN	1/30	1.196416e-01	2.710169e-01	1.200190e+01	2.548310e+01	TMSB4X
c2.all.v2024.1.Hs.symbols.gmt	BERENJENO_TRANSFORMED_BY_RHOA_UP	5/550	8.431714e-02	2.270101e-01	2.428078e+00	6.005051e+00	TMSB4X;GADD45A;HSPH1;HSP90AA1;RPL32
c2.all.v2024.1.Hs.symbols.gmt	BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN	1/46	1.775417e-01	3.214861e-01	7.775812e+00	1.344088e+01	RPL31
c2.all.v2024.1.Hs.symbols.gmt	BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN	5/126	1.996938e-04	3.821663e-03	1.111582e+01	9.469265e+01	RPL10A;RPS2;RPL31;RPL3;VMO1
c2.all.v2024.1.Hs.symbols.gmt	BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP	1/122	4.050514e-01	4.964379e-01	2.901895e+00	2.622562e+00	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP	1/211	5.933968e-01	6.514872e-01	1.668182e+00	8.706110e-01	MSMB
c2.all.v2024.1.Hs.symbols.gmt	BHAT_ESR1_TARGETS_VIA_AKT1_UP	2/281	3.344186e-01	4.401332e-01	2.109897e+00	2.311101e+00	ATF3;MSMB
c2.all.v2024.1.Hs.symbols.gmt	BIDUS_METASTASIS_DN	1/154	4.810570e-01	5.581117e-01	2.293595e+00	1.678383e+00	PIP
c2.all.v2024.1.Hs.symbols.gmt	BIDUS_METASTASIS_UP	1/221	6.104575e-01	6.632366e-01	1.591800e+00	7.856278e-01	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	BILANGES_RAPAMYCIN_SENSITIVE_GENES	1/37	1.454530e-01	2.960146e-01	9.697092e+00	1.869504e+01	RPL23A
c2.all.v2024.1.Hs.symbols.gmt	BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2	3/69	3.150270e-03	3.203170e-02	1.267328e+01	7.300149e+01	RPL3;RPL31;RPL10A
c2.all.v2024.1.Hs.symbols.gmt	BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	11/69	6.420573e-15	5.823181e-13	5.188920e+01	1.695701e+03	RPL21;RPL28;RPL15;RACK1;RPL27A;RPL32;RPL23;RPS5;RPL13A;RPS3;RPL18A
c2.all.v2024.1.Hs.symbols.gmt	BILANGES_SERUM_RESPONSE_TRANSLATION	5/34	3.091742e-07	1.111961e-05	4.597377e+01	6.891174e+02	RPL21;RACK1;RPS5;RPS3;RPL18A
c2.all.v2024.1.Hs.symbols.gmt	BILANGES_SERUM_SENSITIVE_GENES	2/80	4.532280e-02	1.752896e-01	7.581511e+00	2.345678e+01	RPL31;RPL10A
c2.all.v2024.1.Hs.symbols.gmt	BILD_E2F3_ONCOGENIC_SIGNATURE	1/248	6.530639e-01	7.000469e-01	1.416399e+00	6.034999e-01	GAS5
c2.all.v2024.1.Hs.symbols.gmt	BILD_HRAS_ONCOGENIC_SIGNATURE	3/252	9.166917e-02	2.367331e-01	3.349792e+00	8.004561e+00	PPP1R15A;SERPINB3;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	BILD_SRC_ONCOGENIC_SIGNATURE	2/59	2.597644e-02	1.324862e-01	1.036028e+01	3.782089e+01	PPP1R15A;HSPH1
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_AKAPCENTROSOME_PATHWAY	1/14	5.771174e-02	1.926187e-01	2.624540e+01	7.485960e+01	AKAP9
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_AKT_PATHWAY	1/22	8.919728e-02	2.334470e-01	1.647370e+01	3.981536e+01	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_ATM_PATHWAY	1/20	8.142487e-02	2.220291e-01	1.816495e+01	4.555906e+01	GADD45A
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_CFTR_PATHWAY	1/11	4.562907e-02	1.752896e-01	3.374866e+01	1.041892e+02	CFTR
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_CYTOKINE_PATHWAY	1/19	7.751409e-02	2.176237e-01	1.914771e+01	4.896635e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_FLUMAZENIL_PATHWAY	1/9	3.748893e-02	1.619087e-01	4.169330e+01	1.369087e+02	GPX1
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_FREE_PATHWAY	2/10	7.813473e-04	1.149312e-02	7.024006e+01	5.025319e+02	CXCL8;GPX1
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_G2_PATHWAY	1/24	9.690462e-02	2.420875e-01	1.507032e+01	3.517454e+01	GADD45A
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_GCR_PATHWAY	1/17	6.964305e-02	2.057725e-01	2.147059e+01	5.720564e+01	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_GRANULOCYTES_PATHWAY	1/15	6.170557e-02	1.980274e-01	2.443426e+01	6.805873e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_HIF_PATHWAY	1/15	6.170557e-02	1.980274e-01	2.443426e+01	6.805873e+01	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_IL17_PATHWAY	1/15	6.170557e-02	1.980274e-01	2.443426e+01	6.805873e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_INFLAM_PATHWAY	1/29	1.158918e-01	2.689103e-01	1.242359e+01	2.677405e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_LAIR_PATHWAY	1/17	6.964305e-02	2.057725e-01	2.147059e+01	5.720564e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_LYM_PATHWAY	1/14	5.771174e-02	1.926187e-01	2.624540e+01	7.485960e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_NO1_PATHWAY	1/28	1.121262e-01	2.639902e-01	1.287594e+01	2.817422e+01	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_NTHI_PATHWAY	1/23	9.305905e-02	2.367331e-01	1.574082e+01	3.737691e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_P53HYPOXIA_PATHWAY	2/21	3.537385e-03	3.416197e-02	3.060222e+01	1.727302e+02	HSP90AA1;GADD45A
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_P53_PATHWAY	1/16	6.568265e-02	2.009003e-01	2.285682e+01	6.223731e+01	GADD45A
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_PEPI_PATHWAY	1/8	3.339314e-02	1.542150e-01	4.725455e+01	1.606373e+02	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_PPARA_PATHWAY	1/52	1.982688e-01	3.398429e-01	6.868023e+00	1.111336e+01	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_STEM_PATHWAY	1/15	6.170557e-02	1.980274e-01	2.443426e+01	6.805873e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	BIOCARTA_TEL_PATHWAY	1/17	6.964305e-02	2.057725e-01	2.147059e+01	5.720564e+01	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	BLALOCK_ALZHEIMERS_DISEASE_DN	5/1248	6.148081e-01	6.672683e-01	1.030658e+00	5.013584e-01	HSPH1;RPL31;RPL15;HSP90AA1;DNAJA1
c2.all.v2024.1.Hs.symbols.gmt	BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_DN	3/166	3.359290e-02	1.546905e-01	5.131883e+00	1.741474e+01	HSP90AA1;DNAJA1;HSPH1
c2.all.v2024.1.Hs.symbols.gmt	BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_UP	2/389	4.925869e-01	5.667603e-01	1.514316e+00	1.072263e+00	PABPC3;AKAP9
c2.all.v2024.1.Hs.symbols.gmt	BLALOCK_ALZHEIMERS_DISEASE_UP	14/1671	1.052536e-02	7.590949e-02	2.221423e+00	1.011629e+01	PPP1R15A;RPL39;SERPINB4;MUC1;PABPC3;AKAP9;RPL28;RPL37A;RPL31;SFTPC;HSP90AA1;GOLGB1;FTL;RPL13A
c2.all.v2024.1.Hs.symbols.gmt	BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_DN	2/217	2.343148e-01	3.662742e-01	2.744529e+00	3.982557e+00	TCN1;SERPINB3
c2.all.v2024.1.Hs.symbols.gmt	BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP	1/378	8.017712e-01	8.287882e-01	9.231080e-01	2.039441e-01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_UP	1/644	9.375941e-01	9.465753e-01	5.348965e-01	3.446772e-02	DNAJA1
c2.all.v2024.1.Hs.symbols.gmt	BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_DN	1/81	2.913885e-01	4.054946e-01	4.388049e+00	5.410894e+00	RPL39
c2.all.v2024.1.Hs.symbols.gmt	BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_UP	1/137	4.419601e-01	5.259148e-01	2.581242e+00	2.107677e+00	SERPINB4
c2.all.v2024.1.Hs.symbols.gmt	BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_DN	1/59	2.217980e-01	3.578273e-01	6.044289e+00	9.102627e+00	TCN1
c2.all.v2024.1.Hs.symbols.gmt	BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP	3/144	2.335686e-02	1.249293e-01	5.935720e+00	2.229970e+01	CXCL8;TCIM;S100P
c2.all.v2024.1.Hs.symbols.gmt	BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_UP	4/486	1.512653e-01	3.016190e-01	2.227676e+00	4.207456e+00	ATF3;PPP1R15A;GADD45A;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	5/545	8.183877e-02	2.225758e-01	2.451108e+00	6.135134e+00	PPP1R15A;GADD45A;TCIM;ATF3;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_UP	6/86	1.758978e-06	5.241755e-05	2.008917e+01	2.661971e+02	SERPINB4;SERPINB3;ATF3;MMP10;GAS5;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	6/339	3.208867e-03	3.203170e-02	4.793391e+00	2.752287e+01	PPP1R15A;GADD45A;TCIM;NEAT1;ATF3;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	3/174	3.780606e-02	1.626051e-01	4.890710e+00	1.601847e+01	ATF3;PPP1R15A;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP	3/174	3.780606e-02	1.626051e-01	4.890710e+00	1.601847e+01	TCN1;DNAAF1;S100P
c2.all.v2024.1.Hs.symbols.gmt	BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	1/123	4.075854e-01	4.983723e-01	2.878075e+00	2.583086e+00	VMO1
c2.all.v2024.1.Hs.symbols.gmt	BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	2/204	2.140640e-01	3.519958e-01	2.922456e+00	4.504909e+00	ATF3;PPP1R15A
c2.all.v2024.1.Hs.symbols.gmt	BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_DN	2/118	8.941715e-02	2.334470e-01	5.099756e+00	1.231307e+01	NEAT1;RPL39
c2.all.v2024.1.Hs.symbols.gmt	BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_UP	1/41	1.598648e-01	3.051033e-01	8.737770e+00	1.602006e+01	CXCL8
c2.all.v2024.1.Hs.symbols.gmt	BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_UP	2/299	3.620964e-01	4.614602e-01	1.980604e+00	2.011986e+00	DNAH12;PPP1R15A
c2.all.v2024.1.Hs.symbols.gmt	BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_DN	1/119	3.973850e-01	4.916637e-01	2.975767e+00	2.746186e+00	VMO1
c2.all.v2024.1.Hs.symbols.gmt	BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	4/286	3.341572e-02	1.542150e-01	3.839994e+00	1.305110e+01	ATF3;MMP10;PPP1R15A;CXCL8
c2.all.v2024.1.Hs.symbols.gmt	BLUM_RESPONSE_TO_SALIRASIB_DN	1/341	7.674591e-01	7.956857e-01	1.025160e+00	2.713291e-01	HSP90AA1
c2.all.v2024.1.Hs.symbols.gmt	BLUM_RESPONSE_TO_SALIRASIB_UP	5/245	3.893800e-03	3.658769e-02	5.585280e+00	3.098920e+01	PPP1R15A;GADD45A;ATF3;MMP10;GOLGB1
c2.all.v2024.1.Hs.symbols.gmt	BOCHKIS_FOXA2_TARGETS	2/434	5.514025e-01	6.160823e-01	1.353945e+00	8.059901e-01	FTL;RPL21
c2.all.v2024.1.Hs.symbols.gmt	BOHN_PRIMARY_IMMUNODEFICIENCY_SYNDROM_UP	1/46	1.775417e-01	3.214861e-01	7.775812e+00	1.344088e+01	RPS5
c2.all.v2024.1.Hs.symbols.gmt	BONOME_OVARIAN_CANCER_SURVIVAL_OPTIMAL_DEBULKING	2/237	2.656650e-01	3.875365e-01	2.509152e+00	3.325930e+00	UBB;CP
