Gene Name,Score
{'feature_is_filtered': False, 'original_gene_symbols': 'MT-ND1', 'feature_name': 'MT-ND1', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 956, 'n_cells': 19917, 'highly_variable': True, 'means': 2.8550526575147552, 'dispersions': 3.8969724045064207, 'dispersions_norm': 0.14370781183242798},0.0261
{'feature_is_filtered': False, 'original_gene_symbols': 'RPL13A', 'feature_name': 'RPL13A', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 3228, 'n_cells': 26504, 'highly_variable': True, 'means': 3.0478678567678474, 'dispersions': 3.4381937563256355, 'dispersions_norm': -0.3419848382472992},0.0219
{'feature_is_filtered': False, 'original_gene_symbols': 'SCGB1A1', 'feature_name': 'SCGB1A1', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 584, 'n_cells': 9824, 'highly_variable': True, 'means': 4.1346072994664125, 'dispersions': 7.295182420480784, 'dispersions_norm': 1.0},0.0219
{'feature_is_filtered': False, 'original_gene_symbols': 'SFTPA1', 'feature_name': 'SFTPA1', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 2451, 'n_cells': 10974, 'highly_variable': True, 'means': 3.14156823620369, 'dispersions': 5.05828203960117, 'dispersions_norm': 0.5238558650016785},0.0219
{'feature_is_filtered': False, 'original_gene_symbols': 'ZFP36', 'feature_name': 'ZFP36', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 1976, 'n_cells': 18743, 'highly_variable': True, 'means': 1.7108221532786565, 'dispersions': 2.650325241893149, 'dispersions_norm': -0.32125571370124817},0.0217
{'feature_is_filtered': False, 'original_gene_symbols': 'MALAT1;MALAT1-1', 'feature_name': 'MALAT1', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 10434, 'n_cells': 33360, 'highly_variable': True, 'means': 6.204521661316532, 'dispersions': 6.317332552933783, 'dispersions_norm': 1.0},0.0216
{'feature_is_filtered': False, 'original_gene_symbols': 'CXCL17', 'feature_name': 'CXCL17', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 1097, 'n_cells': 18986, 'highly_variable': True, 'means': 1.8058186450811498, 'dispersions': 2.718795445514295, 'dispersions_norm': -0.18353761732578278},0.0215
{'feature_is_filtered': False, 'original_gene_symbols': 'SERPINB4', 'feature_name': 'SERPINB4', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 1971, 'n_cells': 7823, 'highly_variable': True, 'means': 1.647543368737816, 'dispersions': 3.6857437517283715, 'dispersions_norm': 1.7613415718078613},0.0215
{'feature_is_filtered': False, 'original_gene_symbols': 'NEAT1', 'feature_name': 'NEAT1', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 22767, 'n_cells': 27280, 'highly_variable': True, 'means': 3.0206074726641465, 'dispersions': 3.6839527709582156, 'dispersions_norm': -0.08180850744247437},0.0214
{'feature_is_filtered': False, 'original_gene_symbols': 'SCGB3A2', 'feature_name': 'SCGB3A2', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 1075, 'n_cells': 9459, 'highly_variable': True, 'means': 2.998505277885138, 'dispersions': 6.06779892068896, 'dispersions_norm': 2.441884756088257},0.0212
{'feature_is_filtered': False, 'original_gene_symbols': 'DSP', 'feature_name': 'DSP', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 13619, 'n_cells': 12338, 'highly_variable': True, 'means': 1.4272693922467228, 'dispersions': 3.186077906242067, 'dispersions_norm': 1.152777910232544},0.0212
{'feature_is_filtered': False, 'original_gene_symbols': 'UQCRB', 'feature_name': 'UQCRB', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 12600, 'n_cells': 21080, 'highly_variable': True, 'means': 1.7711509552711118, 'dispersions': 2.6699836580604863, 'dispersions_norm': -0.28171560168266296},0.0212
{'feature_is_filtered': False, 'original_gene_symbols': 'PDE4D', 'feature_name': 'PDE4D', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 16321, 'n_cells': 14152, 'highly_variable': True, 'means': 2.0419426142959907, 'dispersions': 3.523079915061, 'dispersions_norm': 1.1925630569458008},0.0211
{'feature_is_filtered': False, 'original_gene_symbols': 'AKAP9', 'feature_name': 'AKAP9', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 26515, 'n_cells': 20651, 'highly_variable': True, 'means': 1.5341852455092335, 'dispersions': 2.7475607576466015, 'dispersions_norm': 0.2895009517669678},0.0211
{'feature_is_filtered': False, 'original_gene_symbols': 'SCGB3A1', 'feature_name': 'SCGB3A1', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 803, 'n_cells': 13627, 'highly_variable': True, 'means': 3.9639229918223227, 'dispersions': 6.947619172549816, 'dispersions_norm': 1.059104323387146},0.0209
{'feature_is_filtered': False, 'original_gene_symbols': 'DLG2', 'feature_name': 'DLG2', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 28206, 'n_cells': 8802, 'highly_variable': True, 'means': 1.441028627294408, 'dispersions': 3.2393268368321624, 'dispersions_norm': 1.2576053142547607},0.0209
{'feature_is_filtered': False, 'original_gene_symbols': 'RPS28', 'feature_name': 'RPS28', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 2119, 'n_cells': 22661, 'highly_variable': True, 'means': 2.631884399733968, 'dispersions': 2.9431241689429504, 'dispersions_norm': -0.13027998805046082},0.0208
{'feature_is_filtered': False, 'original_gene_symbols': 'RPL5', 'feature_name': 'RPL5', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 3687, 'n_cells': 24870, 'highly_variable': True, 'means': 2.417763164353767, 'dispersions': 2.7906968014763693, 'dispersions_norm': -0.3527698218822479},0.0207
{'feature_is_filtered': False, 'original_gene_symbols': 'HSP90AB1', 'feature_name': 'HSP90AB1', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 2980, 'n_cells': 23677, 'highly_variable': True, 'means': 2.092257632394981, 'dispersions': 2.8614792799555984, 'dispersions_norm': 0.11036678403615952},0.0206
{'feature_is_filtered': False, 'original_gene_symbols': 'KRT17', 'feature_name': 'KRT17', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 2996, 'n_cells': 10390, 'highly_variable': True, 'means': 2.0869160226184644, 'dispersions': 3.7235906348200314, 'dispersions_norm': 1.5205433368682861},0.0205
{'feature_is_filtered': False, 'original_gene_symbols': 'AUTS2', 'feature_name': 'AUTS2', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 24887, 'n_cells': 14467, 'highly_variable': True, 'means': 1.5213384621000097, 'dispersions': 3.0842867607326117, 'dispersions_norm': 0.952389121055603},0.0204
{'feature_is_filtered': False, 'original_gene_symbols': 'RPL39', 'feature_name': 'RPL39', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 2128, 'n_cells': 20948, 'highly_variable': True, 'means': 2.657259151118241, 'dispersions': 3.002236425739421, 'dispersions_norm': -0.008438519202172756},0.0203
{'feature_is_filtered': False, 'original_gene_symbols': 'CALM1', 'feature_name': 'CALM1', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 7833, 'n_cells': 20856, 'highly_variable': True, 'means': 1.9755175296114145, 'dispersions': 3.032199848955443, 'dispersions_norm': 0.38961857557296753},0.0202
{'feature_is_filtered': False, 'original_gene_symbols': 'LTF', 'feature_name': 'LTF', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 3989, 'n_cells': 3368, 'highly_variable': True, 'means': 1.4848723183766657, 'dispersions': 5.160257132125973, 'dispersions_norm': 5.039201736450195},0.0201
{'feature_is_filtered': False, 'original_gene_symbols': 'KLF6', 'feature_name': 'KLF6', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 6139, 'n_cells': 18164, 'highly_variable': True, 'means': 1.6445356136596208, 'dispersions': 2.682958425398784, 'dispersions_norm': -0.255618691444397},0.0201
{'feature_is_filtered': False, 'original_gene_symbols': 'IL8;CXCL8', 'feature_name': 'CXCL8', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 2588, 'n_cells': 12054, 'highly_variable': True, 'means': 2.058958210092864, 'dispersions': 3.807240253062626, 'dispersions_norm': 1.6573710441589355},0.0201
{'feature_is_filtered': False, 'original_gene_symbols': 'SNORD77-4;SNORD77;ENSG00000251878;ENSG00000202023;SNORD74-3;SNORD80;ENSG00000251967;SNORD79;SNORD81-1;SNORD44;ENSG00000200891;ENSG00000199934;SNORD74;SNORD74-6;ENSG00000201502;SNORD74-2;SNORD77-3;SNORD47;SNORD76;SNORD81-2;GAS5;SNORD74-4;SNORD77-1;SNORD74-5;ENSG00000212415;SNORD77-2;SNORD74-1;SNORD81', 'feature_name': 'GAS5', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 4932, 'n_cells': 6484, 'highly_variable': True, 'means': 1.4957932834233694, 'dispersions': 3.575543110295242, 'dispersions_norm': 1.9194899797439575},0.0199
{'feature_is_filtered': False, 'original_gene_symbols': 'SERPINB3', 'feature_name': 'SERPINB3', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 1707, 'n_cells': 10910, 'highly_variable': True, 'means': 2.661043400611164, 'dispersions': 4.43436053316767, 'dispersions_norm': 2.9434382915496826},0.0198
{'feature_is_filtered': False, 'original_gene_symbols': 'SFTPC', 'feature_name': 'SFTPC', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 3188, 'n_cells': 13046, 'highly_variable': True, 'means': 5.07515689359852, 'dispersions': 7.001855905606751, 'dispersions_norm': 1.0},0.0197
{'feature_is_filtered': False, 'original_gene_symbols': 'RPL23A', 'feature_name': 'RPL23A', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 2232, 'n_cells': 22420, 'highly_variable': True, 'means': 2.316578488168711, 'dispersions': 2.709369014215544, 'dispersions_norm': -0.4650796353816986},0.0197
{'feature_is_filtered': False, 'original_gene_symbols': 'SNTN', 'feature_name': 'SNTN', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 5135, 'n_cells': 5208, 'highly_variable': True, 'means': 1.011993868791883, 'dispersions': 3.030954947403817, 'dispersions_norm': 1.3212270736694336},0.0195
{'feature_is_filtered': False, 'original_gene_symbols': 'S100A2', 'feature_name': 'S100A2', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 1546, 'n_cells': 10446, 'highly_variable': True, 'means': 2.2274901266601703, 'dispersions': 4.103934561406748, 'dispersions_norm': 1.4607493877410889},0.0195
{'feature_is_filtered': False, 'original_gene_symbols': 'MT-CO3', 'feature_name': 'MT-CO3', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 784, 'n_cells': 20726, 'highly_variable': True, 'means': 3.511992960582451, 'dispersions': 4.360926444814711, 'dispersions_norm': 0.49340391159057617},0.0193
{'feature_is_filtered': False, 'original_gene_symbols': 'NAPSA', 'feature_name': 'NAPSA', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 3586, 'n_cells': 10519, 'highly_variable': True, 'means': 1.9631284827847064, 'dispersions': 3.571090292860367, 'dispersions_norm': 1.271094799041748},0.0193
{'feature_is_filtered': False, 'original_gene_symbols': 'PABPC1', 'feature_name': 'PABPC1', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 9546, 'n_cells': 25326, 'highly_variable': True, 'means': 2.363037499220214, 'dispersions': 3.2388015197802087, 'dispersions_norm': 0.2660415768623352},0.0193
{'feature_is_filtered': False, 'original_gene_symbols': 'TXNIP', 'feature_name': 'TXNIP', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 3604, 'n_cells': 16827, 'highly_variable': True, 'means': 1.6127015000952687, 'dispersions': 3.3536917140840417, 'dispersions_norm': 1.09346604347229},0.0191
{'feature_is_filtered': False, 'original_gene_symbols': 'SLC34A2', 'feature_name': 'SLC34A2', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 5045, 'n_cells': 16684, 'highly_variable': True, 'means': 1.5398160804556378, 'dispersions': 2.6354722550315755, 'dispersions_norm': 0.0688404068350792},0.0191
{'feature_is_filtered': False, 'original_gene_symbols': 'GAPDH', 'feature_name': 'GAPDH', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 2396, 'n_cells': 19967, 'highly_variable': True, 'means': 2.0708803407861014, 'dispersions': 2.7567946021515035, 'dispersions_norm': -0.06086849048733711},0.0189
{'feature_is_filtered': False, 'original_gene_symbols': 'UBB', 'feature_name': 'UBB', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 1567, 'n_cells': 22558, 'highly_variable': True, 'means': 2.040402502244791, 'dispersions': 2.7302733386205347, 'dispersions_norm': -0.10424996167421341},0.0189
{'feature_is_filtered': False, 'original_gene_symbols': 'NUCB2', 'feature_name': 'NUCB2', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 9023, 'n_cells': 15062, 'highly_variable': True, 'means': 1.599496578125742, 'dispersions': 3.2102771259785463, 'dispersions_norm': 0.8050079941749573},0.0189
{'feature_is_filtered': False, 'original_gene_symbols': 'RPS3A', 'feature_name': 'RPS3A', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 2280, 'n_cells': 23969, 'highly_variable': True, 'means': 2.628042269211523, 'dispersions': 2.9508219020326436, 'dispersions_norm': -0.11441350728273392},0.0187
{'feature_is_filtered': False, 'original_gene_symbols': 'RPL23', 'feature_name': 'RPL23', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 5905, 'n_cells': 24120, 'highly_variable': True, 'means': 2.277386638104064, 'dispersions': 2.865408708646904, 'dispersions_norm': -0.24959620833396912},0.0186
{'feature_is_filtered': False, 'original_gene_symbols': 'FABP5', 'feature_name': 'FABP5', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 1904, 'n_cells': 13585, 'highly_variable': True, 'means': 1.3051406974917585, 'dispersions': 2.6458570754386335, 'dispersions_norm': 0.089284248650074},0.0186
{'feature_is_filtered': False, 'original_gene_symbols': 'MT-CO2', 'feature_name': 'MT-CO2', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 684, 'n_cells': 21566, 'highly_variable': True, 'means': 3.5690442637168105, 'dispersions': 4.408873862800786, 'dispersions_norm': 0.6007133722305298},0.0185
{'feature_is_filtered': False, 'original_gene_symbols': 'JUN', 'feature_name': 'JUN', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 3624, 'n_cells': 22332, 'highly_variable': True, 'means': 2.3060139676278535, 'dispersions': 3.2008647667597363, 'dispersions_norm': 0.21365272998809814},0.0185
{'feature_is_filtered': False, 'original_gene_symbols': 'KRT5', 'feature_name': 'KRT5', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 4133, 'n_cells': 7318, 'highly_variable': True, 'means': 1.280531307441083, 'dispersions': 2.990739801793283, 'dispersions_norm': 0.7682299613952637},0.0185
{'feature_is_filtered': False, 'original_gene_symbols': 'RPS5', 'feature_name': 'RPS5', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 3617, 'n_cells': 21588, 'highly_variable': True, 'means': 2.1431569792559344, 'dispersions': 2.504742696270924, 'dispersions_norm': -0.4731559157371521},0.0184
{'feature_is_filtered': False, 'original_gene_symbols': 'RBPMS', 'feature_name': 'RBPMS', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 8894, 'n_cells': 14410, 'highly_variable': True, 'means': 1.2145980370744875, 'dispersions': 2.563437874286305, 'dispersions_norm': 0.38194236159324646},0.0184
{'feature_is_filtered': False, 'original_gene_symbols': 'SYNE1', 'feature_name': 'SYNE1', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 47523, 'n_cells': 12981, 'highly_variable': True, 'means': 1.184482451386774, 'dispersions': 2.5999652948455907, 'dispersions_norm': 0.4553292989730835},0.0183
{'feature_is_filtered': False, 'original_gene_symbols': 'DNAJA1', 'feature_name': 'DNAJA1', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 2668, 'n_cells': 17026, 'highly_variable': True, 'means': 1.8534596445955462, 'dispersions': 3.4421031363181873, 'dispersions_norm': 1.271293044090271},0.0183
{'feature_is_filtered': False, 'original_gene_symbols': 'MT-ND5', 'feature_name': 'MT-ND5', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 1812, 'n_cells': 17061, 'highly_variable': True, 'means': 1.8179676007691357, 'dispersions': 2.871280634715686, 'dispersions_norm': 0.12316468358039856},0.0182
{'feature_is_filtered': False, 'original_gene_symbols': 'CLU', 'feature_name': 'CLU', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 6285, 'n_cells': 14521, 'highly_variable': True, 'means': 1.555211733046697, 'dispersions': 3.513728937000498, 'dispersions_norm': 1.797800898551941},0.0182
{'feature_is_filtered': False, 'original_gene_symbols': 'RPS19', 'feature_name': 'RPS19', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 3461, 'n_cells': 24836, 'highly_variable': True, 'means': 2.633499513817224, 'dispersions': 2.9852632646504857, 'dispersions_norm': -0.04342339187860489},0.0181
{'feature_is_filtered': False, 'original_gene_symbols': 'CFAP298;C21ORF59;C21orf59', 'feature_name': 'CFAP298', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 5403, 'n_cells': 8631, 'highly_variable': True, 'means': 1.3398044897428312, 'dispersions': 3.421081208653728, 'dispersions_norm': 1.6154119968414307},0.0181
{'feature_is_filtered': False, 'original_gene_symbols': 'CALM2', 'feature_name': 'CALM2', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 7113, 'n_cells': 17156, 'highly_variable': True, 'means': 1.8257890112888244, 'dispersions': 2.8823627110295664, 'dispersions_norm': 0.14545470476150513},0.0181
{'feature_is_filtered': False, 'original_gene_symbols': 'ACTG1', 'feature_name': 'ACTG1', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 4052, 'n_cells': 25922, 'highly_variable': True, 'means': 2.492137102741991, 'dispersions': 2.864017057193217, 'dispersions_norm': -0.25151801109313965},0.0180
{'feature_is_filtered': False, 'original_gene_symbols': 'LYZ', 'feature_name': 'LYZ', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 1724, 'n_cells': 7035, 'highly_variable': True, 'means': 3.2502095745318735, 'dispersions': 7.297882936776994, 'dispersions_norm': 2.3544912338256836},0.0180
{'feature_is_filtered': False, 'original_gene_symbols': 'RSPH1', 'feature_name': 'RSPH1', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 2880, 'n_cells': 5904, 'highly_variable': True, 'means': 1.2397755433378927, 'dispersions': 3.1396822780840385, 'dispersions_norm': 1.5396702289581299},0.0178
{'feature_is_filtered': False, 'original_gene_symbols': 'ERBB4', 'feature_name': 'ERBB4', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 13011, 'n_cells': 9582, 'highly_variable': True, 'means': 1.0848277180240822, 'dispersions': 2.603607847807568, 'dispersions_norm': 0.46264752745628357},0.0178
{'feature_is_filtered': False, 'original_gene_symbols': 'RPL28', 'feature_name': 'RPL28', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 6346, 'n_cells': 22735, 'highly_variable': True, 'means': 2.597217656273984, 'dispersions': 3.049633878974543, 'dispersions_norm': 0.08925653249025345},0.0177
{'feature_is_filtered': False, 'original_gene_symbols': 'ANXA1', 'feature_name': 'ANXA1', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 4453, 'n_cells': 18783, 'highly_variable': True, 'means': 1.7062765610582127, 'dispersions': 2.7625081087193366, 'dispersions_norm': -0.09561580419540405},0.0177
{'feature_is_filtered': False, 'original_gene_symbols': 'RPS27', 'feature_name': 'RPS27', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 1028, 'n_cells': 22472, 'highly_variable': True, 'means': 2.826583126607263, 'dispersions': 3.362557191178178, 'dispersions_norm': -0.4220585823059082},0.0177
{'feature_is_filtered': False, 'original_gene_symbols': 'MACROD2', 'feature_name': 'MACROD2', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 11426, 'n_cells': 11026, 'highly_variable': True, 'means': 1.638218256193154, 'dispersions': 3.6692971806585626, 'dispersions_norm': 1.7282615900039673},0.0176
{'feature_is_filtered': False, 'original_gene_symbols': 'AC016831.1;AC058791.1;ENSG00000226380;AC016831.7;LINC-PINT', 'feature_name': 'LINC-PINT', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 27290, 'n_cells': 12524, 'highly_variable': True, 'means': 1.3070090031251613, 'dispersions': 2.7605318084299437, 'dispersions_norm': 0.3150361180305481},0.0176
{'feature_is_filtered': False, 'original_gene_symbols': 'RPL15', 'feature_name': 'RPL15', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 7141, 'n_cells': 25520, 'highly_variable': True, 'means': 2.5837572864800595, 'dispersions': 2.791071510210101, 'dispersions_norm': -0.4436890780925751},0.0176
{'feature_is_filtered': False, 'original_gene_symbols': 'CIB1', 'feature_name': 'CIB1', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 3520, 'n_cells': 14239, 'highly_variable': True, 'means': 1.1171782063749285, 'dispersions': 2.3023366798939957, 'dispersions_norm': -0.14263390004634857},0.0176
{'feature_is_filtered': False, 'original_gene_symbols': 'RPS3', 'feature_name': 'RPS3', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 5859, 'n_cells': 25125, 'highly_variable': True, 'means': 2.5720769359116016, 'dispersions': 2.8159998244854916, 'dispersions_norm': -0.3923071324825287},0.0175
{'feature_is_filtered': False, 'original_gene_symbols': 'RPL32', 'feature_name': 'RPL32', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 3714, 'n_cells': 25508, 'highly_variable': True, 'means': 2.7602430128136852, 'dispersions': 2.9355620010541297, 'dispersions_norm': -0.14586703479290009},0.0174
{'feature_is_filtered': False, 'original_gene_symbols': 'RP11-145O15.3;DLC1', 'feature_name': 'DLC1', 'feature_reference': 'NCBITaxon:9606', 'feature_biotype': 'gene', 'feature_length': 12794, 'n_cells': 10588, 'highly_variable': True, 'means': 1.288140336356225, 'dispersions': 2.9851240781826425, 'dispersions_norm': 0.7571746706962585},0.0174
